PART ONE: 5,7,3,0
4000 => 4,6,7,0
4001 => 4,6,7,0
4002 => 4,6,7,0
4003 => 4,6,7,0
4004 => 4,6,7,0
4005 => 4,6,7,0
4006 => 4,6,7,0
4007 => 4,6,7,0
4008 => 5,6,7,0
4009 => 5,6,7,0
4010 => 5,6,7,0
4011 => 5,6,7,0
4012 => 5,6,7,0
4013 => 5,6,7,0
4014 => 5,6,7,0
4015 => 5,6,7,0
4016 => 6,6,7,0
4017 => 6,6,7,0
4018 => 6,6,7,0
4019 => 6,6,7,0
4020 => 6,6,7,0
4021 => 6,6,7,0
4022 => 6,6,7,0
4023 => 6,6,7,0
4024 => 7,6,7,0
4025 => 7,6,7,0
4026 => 7,6,7,0
4027 => 7,6,7,0
4028 => 7,6,7,0
4029 => 7,6,7,0
4030 => 7,6,7,0
4031 => 7,6,7,0
4032 => 0,7,7,0
4033 => 0,7,7,0
4034 => 0,7,7,0
4035 => 0,7,7,0
4036 => 0,7,7,0
4037 => 0,7,7,0
4038 => 0,7,7,0
4039 => 0,7,7,0
4040 => 1,7,7,0
4041 => 1,7,7,0
4042 => 1,7,7,0
4043 => 1,7,7,0
4044 => 1,7,7,0
4045 => 1,7,7,0
4046 => 1,7,7,0
4047 => 1,7,7,0
4048 => 2,7,7,0
4049 => 2,7,7,0
4050 => 2,7,7,0
4051 => 2,7,7,0
4052 => 2,7,7,0
4053 => 2,7,7,0
4054 => 2,7,7,0
4055 => 2,7,7,0
4056 => 3,7,7,0
4057 => 3,7,7,0
4058 => 3,7,7,0
4059 => 3,7,7,0
4060 => 3,7,7,0
4061 => 3,7,7,0
4062 => 3,7,7,0
4063 => 3,7,7,0
4064 => 4,7,7,0
4065 => 4,7,7,0
4066 => 4,7,7,0
4067 => 4,7,7,0
4068 => 4,7,7,0
4069 => 4,7,7,0
4070 => 4,7,7,0
4071 => 4,7,7,0
4072 => 5,7,7,0
4073 => 5,7,7,0
4074 => 5,7,7,0
4075 => 5,7,7,0
4076 => 5,7,7,0
4077 => 5,7,7,0
4078 => 5,7,7,0
4079 => 5,7,7,0
4080 => 6,7,7,0
4081 => 6,7,7,0
4082 => 6,7,7,0
4083 => 6,7,7,0
4084 => 6,7,7,0
4085 => 6,7,7,0
4086 => 6,7,7,0
4087 => 6,7,7,0
4088 => 7,7,7,0
4089 => 7,7,7,0
4090 => 7,7,7,0
4091 => 7,7,7,0
4092 => 7,7,7,0
4093 => 7,7,7,0
4094 => 7,7,7,0
4095 => 7,7,7,0
4096 => 0,0,0,1,0
4097 => 0,0,0,1,0
4098 => 0,0,0,1,0
4099 => 0,0,0,1,0
4100 => 0,0,0,1,0
4101 => 0,0,0,1,0
4102 => 0,0,0,1,0
4103 => 0,0,0,1,0
4104 => 1,0,0,1,0
4105 => 1,0,0,1,0
4106 => 1,0,0,1,0
4107 => 1,0,0,1,0
4108 => 1,0,0,1,0
4109 => 1,0,0,1,0
4110 => 1,0,0,1,0
4111 => 1,0,0,1,0
4112 => 2,0,0,1,0
4113 => 2,0,0,1,0
4114 => 2,0,0,1,0
4115 => 2,0,0,1,0
4116 => 2,0,0,1,0
4117 => 2,0,0,1,0
4118 => 2,0,0,1,0
4119 => 2,0,0,1,0
4120 => 3,0,0,1,0
4121 => 3,0,0,1,0
4122 => 3,0,0,1,0
4123 => 3,0,0,1,0
4124 => 3,0,0,1,0
4125 => 3,0,0,1,0
4126 => 3,0,0,1,0
4127 => 3,0,0,1,0
4128 => 4,0,0,1,0
4129 => 4,0,0,1,0
4130 => 4,0,0,1,0
4131 => 4,0,0,1,0
4132 => 4,0,0,1,0
4133 => 4,0,0,1,0
4134 => 4,0,0,1,0
4135 => 4,0,0,1,0
4136 => 5,0,0,1,0
4137 => 5,0,0,1,0
4138 => 5,0,0,1,0
4139 => 5,0,0,1,0
4140 => 5,0,0,1,0
4141 => 5,0,0,1,0
4142 => 5,0,0,1,0
4143 => 5,0,0,1,0
4144 => 6,0,0,1,0
4145 => 6,0,0,1,0
4146 => 6,0,0,1,0
4147 => 6,0,0,1,0
4148 => 6,0,0,1,0
4149 => 6,0,0,1,0
4150 => 6,0,0,1,0
4151 => 6,0,0,1,0
4152 => 7,0,0,1,0
4153 => 7,0,0,1,0
4154 => 7,0,0,1,0
4155 => 7,0,0,1,0
4156 => 7,0,0,1,0
4157 => 7,0,0,1,0
4158 => 7,0,0,1,0
4159 => 7,0,0,1,0
4160 => 0,1,0,1,0
4161 => 0,1,0,1,0
4162 => 0,1,0,1,0
4163 => 0,1,0,1,0
4164 => 0,1,0,1,0
4165 => 0,1,0,1,0
4166 => 0,1,0,1,0
4167 => 0,1,0,1,0
4168 => 1,1,0,1,0
4169 => 1,1,0,1,0
4170 => 1,1,0,1,0
4171 => 1,1,0,1,0
4172 => 1,1,0,1,0
4173 => 1,1,0,1,0
4174 => 1,1,0,1,0
4175 => 1,1,0,1,0
4176 => 2,1,0,1,0
4177 => 2,1,0,1,0
4178 => 2,1,0,1,0
4179 => 2,1,0,1,0
4180 => 2,1,0,1,0
4181 => 2,1,0,1,0
4182 => 2,1,0,1,0
4183 => 2,1,0,1,0
4184 => 3,1,0,1,0
4185 => 3,1,0,1,0
4186 => 3,1,0,1,0
4187 => 3,1,0,1,0
4188 => 3,1,0,1,0
4189 => 3,1,0,1,0
4190 => 3,1,0,1,0
4191 => 3,1,0,1,0
4192 => 4,1,0,1,0
4193 => 4,1,0,1,0
4194 => 4,1,0,1,0
4195 => 4,1,0,1,0
4196 => 4,1,0,1,0
4197 => 4,1,0,1,0
4198 => 4,1,0,1,0
4199 => 4,1,0,1,0
4200 => 5,1,0,1,0
4201 => 5,1,0,1,0
4202 => 5,1,0,1,0
4203 => 5,1,0,1,0
4204 => 5,1,0,1,0
4205 => 5,1,0,1,0
4206 => 5,1,0,1,0
4207 => 5,1,0,1,0
4208 => 6,1,0,1,0
4209 => 6,1,0,1,0
4210 => 6,1,0,1,0
4211 => 6,1,0,1,0
4212 => 6,1,0,1,0
4213 => 6,1,0,1,0
4214 => 6,1,0,1,0
4215 => 6,1,0,1,0
4216 => 7,1,0,1,0
4217 => 7,1,0,1,0
4218 => 7,1,0,1,0
4219 => 7,1,0,1,0
4220 => 7,1,0,1,0
4221 => 7,1,0,1,0
4222 => 7,1,0,1,0
4223 => 7,1,0,1,0
4224 => 0,2,0,1,0
4225 => 0,2,0,1,0
4226 => 0,2,0,1,0
4227 => 0,2,0,1,0
4228 => 0,2,0,1,0
4229 => 0,2,0,1,0
4230 => 0,2,0,1,0
4231 => 0,2,0,1,0
4232 => 1,2,0,1,0
4233 => 1,2,0,1,0
4234 => 1,2,0,1,0
4235 => 1,2,0,1,0
4236 => 1,2,0,1,0
4237 => 1,2,0,1,0
4238 => 1,2,0,1,0
4239 => 1,2,0,1,0
4240 => 2,2,0,1,0
4241 => 2,2,0,1,0
4242 => 2,2,0,1,0
4243 => 2,2,0,1,0
4244 => 2,2,0,1,0
4245 => 2,2,0,1,0
4246 => 2,2,0,1,0
4247 => 2,2,0,1,0
4248 => 3,2,0,1,0
4249 => 3,2,0,1,0
4250 => 3,2,0,1,0
4251 => 3,2,0,1,0
4252 => 3,2,0,1,0
4253 => 3,2,0,1,0
4254 => 3,2,0,1,0
4255 => 3,2,0,1,0
4256 => 4,2,0,1,0
4257 => 4,2,0,1,0
4258 => 4,2,0,1,0
4259 => 4,2,0,1,0
4260 => 4,2,0,1,0
4261 => 4,2,0,1,0
4262 => 4,2,0,1,0
4263 => 4,2,0,1,0
4264 => 5,2,0,1,0
4265 => 5,2,0,1,0
4266 => 5,2,0,1,0
4267 => 5,2,0,1,0
4268 => 5,2,0,1,0
4269 => 5,2,0,1,0
4270 => 5,2,0,1,0
4271 => 5,2,0,1,0
4272 => 6,2,0,1,0
4273 => 6,2,0,1,0
4274 => 6,2,0,1,0
4275 => 6,2,0,1,0
4276 => 6,2,0,1,0
4277 => 6,2,0,1,0
4278 => 6,2,0,1,0
4279 => 6,2,0,1,0
4280 => 7,2,0,1,0
4281 => 7,2,0,1,0
4282 => 7,2,0,1,0
4283 => 7,2,0,1,0
4284 => 7,2,0,1,0
4285 => 7,2,0,1,0
4286 => 7,2,0,1,0
4287 => 7,2,0,1,0
4288 => 0,3,0,1,0
4289 => 0,3,0,1,0
4290 => 0,3,0,1,0
4291 => 0,3,0,1,0
4292 => 0,3,0,1,0
4293 => 0,3,0,1,0
4294 => 0,3,0,1,0
4295 => 0,3,0,1,0
4296 => 1,3,0,1,0
4297 => 1,3,0,1,0
4298 => 1,3,0,1,0
4299 => 1,3,0,1,0
4300 => 1,3,0,1,0
4301 => 1,3,0,1,0
4302 => 1,3,0,1,0
4303 => 1,3,0,1,0
4304 => 2,3,0,1,0
4305 => 2,3,0,1,0
4306 => 2,3,0,1,0
4307 => 2,3,0,1,0
4308 => 2,3,0,1,0
4309 => 2,3,0,1,0
4310 => 2,3,0,1,0
4311 => 2,3,0,1,0
4312 => 3,3,0,1,0
4313 => 3,3,0,1,0
4314 => 3,3,0,1,0
4315 => 3,3,0,1,0
4316 => 3,3,0,1,0
4317 => 3,3,0,1,0
4318 => 3,3,0,1,0
4319 => 3,3,0,1,0
4320 => 4,3,0,1,0
4321 => 4,3,0,1,0
4322 => 4,3,0,1,0
4323 => 4,3,0,1,0
4324 => 4,3,0,1,0
4325 => 4,3,0,1,0
4326 => 4,3,0,1,0
4327 => 4,3,0,1,0
4328 => 5,3,0,1,0
4329 => 5,3,0,1,0
4330 => 5,3,0,1,0
4331 => 5,3,0,1,0
4332 => 5,3,0,1,0
4333 => 5,3,0,1,0
4334 => 5,3,0,1,0
4335 => 5,3,0,1,0
4336 => 6,3,0,1,0
4337 => 6,3,0,1,0
4338 => 6,3,0,1,0
4339 => 6,3,0,1,0
4340 => 6,3,0,1,0
4341 => 6,3,0,1,0
4342 => 6,3,0,1,0
4343 => 6,3,0,1,0
4344 => 7,3,0,1,0
4345 => 7,3,0,1,0
4346 => 7,3,0,1,0
4347 => 7,3,0,1,0
4348 => 7,3,0,1,0
4349 => 7,3,0,1,0
4350 => 7,3,0,1,0
4351 => 7,3,0,1,0
4352 => 0,4,0,1,0
4353 => 0,4,0,1,0
4354 => 0,4,0,1,0
4355 => 0,4,0,1,0
4356 => 0,4,0,1,0
4357 => 0,4,0,1,0
4358 => 0,4,0,1,0
4359 => 0,4,0,1,0
4360 => 1,4,0,1,0
4361 => 1,4,0,1,0
4362 => 1,4,0,1,0
4363 => 1,4,0,1,0
4364 => 1,4,0,1,0
4365 => 1,4,0,1,0
4366 => 1,4,0,1,0
4367 => 1,4,0,1,0
4368 => 2,4,0,1,0
4369 => 2,4,0,1,0
4370 => 2,4,0,1,0
4371 => 2,4,0,1,0
4372 => 2,4,0,1,0
4373 => 2,4,0,1,0
4374 => 2,4,0,1,0
4375 => 2,4,0,1,0
4376 => 3,4,0,1,0
4377 => 3,4,0,1,0
4378 => 3,4,0,1,0
4379 => 3,4,0,1,0
4380 => 3,4,0,1,0
4381 => 3,4,0,1,0
4382 => 3,4,0,1,0
4383 => 3,4,0,1,0
4384 => 4,4,0,1,0
4385 => 4,4,0,1,0
4386 => 4,4,0,1,0
4387 => 4,4,0,1,0
4388 => 4,4,0,1,0
4389 => 4,4,0,1,0
4390 => 4,4,0,1,0
4391 => 4,4,0,1,0
4392 => 5,4,0,1,0
4393 => 5,4,0,1,0
4394 => 5,4,0,1,0
4395 => 5,4,0,1,0
4396 => 5,4,0,1,0
4397 => 5,4,0,1,0
4398 => 5,4,0,1,0
4399 => 5,4,0,1,0
4400 => 6,4,0,1,0
4401 => 6,4,0,1,0
4402 => 6,4,0,1,0
4403 => 6,4,0,1,0
4404 => 6,4,0,1,0
4405 => 6,4,0,1,0
4406 => 6,4,0,1,0
4407 => 6,4,0,1,0
4408 => 7,4,0,1,0
4409 => 7,4,0,1,0
4410 => 7,4,0,1,0
4411 => 7,4,0,1,0
4412 => 7,4,0,1,0
4413 => 7,4,0,1,0
4414 => 7,4,0,1,0
4415 => 7,4,0,1,0
4416 => 0,5,0,1,0
4417 => 0,5,0,1,0
4418 => 0,5,0,1,0
4419 => 0,5,0,1,0
4420 => 0,5,0,1,0
4421 => 0,5,0,1,0
4422 => 0,5,0,1,0
4423 => 0,5,0,1,0
4424 => 1,5,0,1,0
4425 => 1,5,0,1,0
4426 => 1,5,0,1,0
4427 => 1,5,0,1,0
4428 => 1,5,0,1,0
4429 => 1,5,0,1,0
4430 => 1,5,0,1,0
4431 => 1,5,0,1,0
4432 => 2,5,0,1,0
4433 => 2,5,0,1,0
4434 => 2,5,0,1,0
4435 => 2,5,0,1,0
4436 => 2,5,0,1,0
4437 => 2,5,0,1,0
4438 => 2,5,0,1,0
4439 => 2,5,0,1,0
4440 => 3,5,0,1,0
4441 => 3,5,0,1,0
4442 => 3,5,0,1,0
4443 => 3,5,0,1,0
4444 => 3,5,0,1,0
4445 => 3,5,0,1,0
4446 => 3,5,0,1,0
4447 => 3,5,0,1,0
4448 => 4,5,0,1,0
4449 => 4,5,0,1,0
4450 => 4,5,0,1,0
4451 => 4,5,0,1,0
4452 => 4,5,0,1,0
4453 => 4,5,0,1,0
4454 => 4,5,0,1,0
4455 => 4,5,0,1,0
4456 => 5,5,0,1,0
4457 => 5,5,0,1,0
4458 => 5,5,0,1,0
4459 => 5,5,0,1,0
4460 => 5,5,0,1,0
4461 => 5,5,0,1,0
4462 => 5,5,0,1,0
4463 => 5,5,0,1,0
4464 => 6,5,0,1,0
4465 => 6,5,0,1,0
4466 => 6,5,0,1,0
4467 => 6,5,0,1,0
4468 => 6,5,0,1,0
4469 => 6,5,0,1,0
4470 => 6,5,0,1,0
4471 => 6,5,0,1,0
4472 => 7,5,0,1,0
4473 => 7,5,0,1,0
4474 => 7,5,0,1,0
4475 => 7,5,0,1,0
4476 => 7,5,0,1,0
